Query;customer_id;company_name;contact_name;country
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');ANATR;Ana Trujillo Emparedados y helados;Ana Trujillo;Mexico
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');ANTON;Antonio Moreno Taquería;Antonio Moreno;Mexico
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');BERGS;Berglunds snabbköp;Christina Berglund;Sweden
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');BLONP;Blondesddsl père et fils;Frédérique Citeaux;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');BOLID;Bólido Comidas preparadas;Martín Sommer;Spain
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');BONAP;Bon app';Laurence Lebihan;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');BOTTM;Bottom-Dollar Markets;Elizabeth Lincoln;Canada
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');CACTU;Cactus Comidas para llevar;Patricio Simpson;Argentina
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');CENTC;Centro comercial Moctezuma;Francisco Chang;Mexico
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');CHOPS;Chop-suey Chinese;Yang Wang;Switzerland
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');COMMI;Comércio Mineiro;Pedro Afonso;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');DUMON;Du monde entier;Janine Labrune;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');ERNSH;Ernst Handel;Roland Mendel;Austria
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');FAMIA;Familia Arquibaldo;Aria Cruz;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');FISSA;FISSA Fabrica Inter. Salchichas S.A.;Diego Roel;Spain
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');FOLIG;Folies gourmandes;Martine Rancé;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');FOLKO;Folk och fä HB;Maria Larsson;Sweden
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');FRANR;France restauration;Carine Schmitt;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');FRANS;Franchi S.p.A.;Paolo Accorti;Italy
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');FURIB;Furia Bacalhau e Frutos do Mar;Lino Rodriguez;Portugal
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');GALED;Galería del gastrónomo;Eduardo Saavedra;Spain
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');GODOS;Godos Cocina Típica;José Pedro Freyre;Spain
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');GOURL;Gourmet Lanchonetes;André Fonseca;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');GREAL;Great Lakes Food Market;Howard Snyder;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');GROSR;GROSELLA-Restaurante;Manuel Pereira;Venezuela
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');HANAR;Hanari Carnes;Mario Pontes;Brazil
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');HILAA;HILARION-Abastos;Carlos Hernández;Venezuela
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');HUNGC;Hungry Coyote Import Store;Yoshi Latimer;USA
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');HUNGO;Hungry Owl All-Night Grocers;Patricia McKenna;Ireland
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LACOR;La corne d'abondance;Daniel Tonini;France
SELECT Customer_id, Company_Name, Contact_Name, Country FROM Customers where country not in ('Germany','UK');LAMAI;La maison d'Asie;Annette Roulet;France
